source1_entity_id	candidate_entity_ids
S1-85137538	S2-114070036,S2-11447624,S2-166803465,S2-287279880,S2-405222082,S2-462104402,S2-503729988,S2-576227494,S2-636078522,S2-737021373,S2-776006762,S2-806381449,S2-855600642,S2-928988857,S2-948611657,S3-102377849,S3-219111003,S3-508757891,S3-654593788,S3-885068828,S3-952283138,S3-958763670,S3-979556384,S3-986160035,S3-996441108
S1-315874798	S2-178788281,S2-792185760,S3-22789765,S3-652494810
S1-105568631	S2-161552358,S2-221970764,S2-416525745,S2-450275939,S2-586377600,S2-743200797,S2-743669591,S2-820279615,S2-931447230,S3-218616693,S3-392443630,S3-528444597,S3-686929711,S3-827097593,S3-835218271,S3-882638615,S3-945921420
S1-59474645	S2-240228506,S2-25044986,S2-25639527,S2-270150045,S2-307620132,S2-430060691,S2-454926714,S2-552709038,S2-590090387,S2-629547835,S2-66757319,S2-672899175,S2-77704458,S2-788450465,S2-869663561,S2-87763770,S2-883201361,S2-889763009,S2-966985435,S2-991804428,S3-100127136,S3-115263858,S3-119954793,S3-180857360,S3-295424183,S3-297770283,S3-402378963,S3-467911081,S3-513827469,S3-617276276,S3-620423157,S3-721460028,S3-754104337,S3-808419709,S3-939373150
S1-416613506	S2-566513991,S2-584328428,S2-857323110,S3-47965311
S1-681160793	S2-395532965,S3-183950061,S3-215808555,S3-515561648,S3-558764097,S3-987734207
S1-630422386	S2-91782535,S3-136184348,S3-47685760,S3-568305051
S1-905733846	S2-454766210,S3-851988458,S3-949496226,S3-961784321
S1-349961763	S3-982459134
S1-705083256	S2-194703376,S2-428830889,S2-438235722,S2-454663887,S2-543474827,S2-598783662,S2-623221691,S2-772902621,S2-790988267,S2-851573434,S3-101890687,S3-189320525,S3-269503415,S3-330087840,S3-331260389,S3-356439346,S3-441844060,S3-4436052,S3-489559519,S3-533052842,S3-545757502,S3-635220818,S3-641964517,S3-643347300,S3-680659605,S3-689953056,S3-767081406,S3-818304481,S3-912473290,S3-933511419,S3-961846186
S1-637478090	
S1-991226123	S2-2112262,S2-33770901,S2-88820352,S3-179512259,S3-21640346,S3-274452597,S3-367477000,S3-57834171,S3-595187097,S3-661586320,S3-71634856,S3-952060287
S1-294514712	S2-159682714,S2-171172645,S2-199425487,S2-268341642,S2-352901282,S2-363249020,S2-523234440,S2-657526429,S2-708631181,S3-101405370,S3-179268798,S3-364674213,S3-447940261,S3-495887096,S3-585303173,S3-656530454,S3-744045338,S3-779717587,S3-949325070
S1-275239484	S2-570931402,S2-810206705,S2-961403572,S3-339316236,S3-578716006
S1-715167399	S2-21125523,S2-711893864,S2-914065316,S2-993232634,S3-588094386
S1-453593204	S2-197953372,S2-253245428,S2-266437162,S2-334991974,S2-357511209,S2-366480050,S2-378660284,S2-399866773,S2-492589350,S2-504612567,S2-518859576,S2-600433503,S2-621897365,S2-650607812,S2-660091990,S2-767535321,S2-774316610,S2-778612308,S2-815315339,S2-840093914,S2-857812018,S2-876550689,S2-959349075,S3-161755914,S3-311928554,S3-344613341,S3-478293486,S3-559434817,S3-56301013,S3-595539211,S3-73180305,S3-792548532,S3-931877179,S3-957699670,S3-999512002
S1-881426134	S2-152649554,S2-165112809,S2-200666499,S2-237525119,S2-251717309,S2-293623259,S2-295273104,S2-30249982,S2-35693305,S2-400725574,S2-439284028,S2-460607254,S2-472174593,S2-51336478,S2-57529012,S2-600299095,S2-611577665,S2-631149358,S2-649585931,S2-68942340,S2-69024638,S2-724920802,S2-747943345,S2-770717600,S2-846265472,S2-865329222,S2-930926987,S3-120532975,S3-277158755,S3-395650763,S3-599347026,S3-60964938,S3-66834296,S3-752608566,S3-914318692
S1-918648567	S2-19925397,S2-249513987,S2-267161434,S2-606407594,S2-615758197,S2-673926938,S2-680184041,S2-866165229,S2-879605152,S2-914345718,S2-9282499,S3-236683684,S3-293437460,S3-433461445,S3-575237780,S3-589916928,S3-697984690,S3-703253503,S3-738774140,S3-772667869,S3-774736693,S3-819384717,S3-8497562,S3-941808371,S3-947768715,S3-962918866
S1-926626262	S2-138492196,S2-196701374,S2-284844649,S2-28814628,S2-346604707,S2-440200685,S2-460136490,S2-484928805,S2-513122313,S2-513714827,S2-598443398,S2-653851340,S2-670002638,S2-676083081,S2-709013347,S2-96278312,S3-105624197,S3-188402953,S3-196044535,S3-294103122,S3-314512434,S3-336045709,S3-36044583,S3-413139997,S3-425044518,S3-481637349,S3-486806366,S3-520022527,S3-625715991,S3-626535046,S3-634002678,S3-735727877,S3-781484477,S3-859356554,S3-942216360
S1-141017168	S3-177986687,S3-233035925,S3-837067038
S1-922626199	S2-851752978,S3-1218889,S3-564988957,S3-841777268
S1-101600459	S2-129726428,S2-141941838,S2-18002875,S2-229623554,S2-37572914,S2-398026526,S2-477612312,S2-553420319,S2-632264452,S2-640299814,S2-728415668,S2-741739098,S2-778745347,S2-847294762,S2-878202400,S2-918415407,S2-938559567,S2-969988349,S2-970885323,S2-993107908,S3-101078372,S3-393691814,S3-459385899,S3-549499180,S3-605943184,S3-660690741,S3-681339707,S3-71126172,S3-806330885,S3-824205685,S3-844532141,S3-87215067,S3-877623355,S3-919573636,S3-930761446
S1-653552833	S2-188295837,S2-479684729,S2-625675086,S2-668289696,S2-74003616,S2-783527981,S3-180885195,S3-225065620,S3-560636619,S3-659975818,S3-709974281
S1-576045669	S2-927415812
S1-631847737	S2-607668575,S2-877224188,S3-199652378,S3-51679970,S3-719695700
S1-727686013	S2-360788603,S2-372172880,S2-389881714,S2-394571120,S2-51574598,S2-556469960,S2-581508866,S2-708757485,S2-986940248,S3-188354063,S3-22679509,S3-232519749,S3-243209227,S3-343979962,S3-382868122,S3-391121684,S3-41801400,S3-525239074,S3-533981091,S3-548199504,S3-562383456,S3-607060939,S3-63271265,S3-717541835,S3-973816063
S1-788020043	S2-124798095,S2-179989880,S2-182743306,S2-209082145,S2-25201671,S2-272338010,S2-302742914,S2-363756741,S2-385991369,S2-428684481,S2-535465384,S2-630833712,S2-650817671,S2-689348912,S2-757473048,S2-765720249,S2-772032244,S2-781062791,S2-802260310,S2-825371012,S2-841150901,S2-881028278,S2-997474280,S3-167096146,S3-311350617,S3-344466028,S3-480011125,S3-495325432,S3-528706011,S3-588220144,S3-649622959,S3-735885413,S3-760594020,S3-810547728,S3-931500217
S1-702250751	S2-113916599,S3-188281988
S1-8697128	S2-112135646,S2-114946280,S2-25973026,S2-273014357,S2-279568073,S2-321103127,S2-374649875,S2-500995216,S2-840224170,S2-850239131,S2-918602700,S2-958296449,S2-95830434,S3-10034532,S3-223358741,S3-262775573,S3-282619594,S3-292493546,S3-335428371,S3-40393162,S3-554696775,S3-689183019,S3-701941347,S3-775569189,S3-786131703,S3-921297772,S3-943244761
S1-583365562	S2-459777891,S2-541281477,S3-984436624
S1-953694901	S2-282116255,S2-798975705,S3-5786446,S3-860481692
S1-860358582	S2-121795405,S2-122178984,S2-171710748,S2-216446358,S2-227914554,S2-30888716,S2-337546861,S2-406788976,S2-409357408,S2-437437459,S2-464688602,S2-475754135,S2-48050677,S2-482059396,S2-487116105,S2-518262018,S2-549362894,S2-558404608,S2-563602891,S2-586329791,S2-58717425,S2-618275000,S2-679520168,S2-758188088,S2-768849361,S2-789525460,S2-791638625,S2-833038098,S2-860254588,S2-95264755,S2-965698738,S2-975853527,S2-982355042,S2-987982086,S3-630743152
S1-568735313	S2-223965575,S2-440253638,S2-589094691,S2-648035184,S2-796657884,S3-112223799,S3-588502663
S1-626336589	S2-96767082,S3-360367188
S1-283013172	S2-1975467,S3-204998929,S3-485104561
S1-906068598	S2-17194923,S2-392145339,S2-428439868,S2-456906802,S2-534757014,S2-554224375,S2-607914054,S2-725951273,S2-839280644,S2-873556187,S2-93613095,S3-105197093,S3-116158717,S3-171181187,S3-252014462,S3-314832730,S3-368891593,S3-429685653,S3-534253649,S3-604524300,S3-660561828,S3-690641083,S3-872982512,S3-924039771
S1-392583935	S2-11653846,S3-235940504,S3-375452813,S3-639422519,S3-887301550,S3-998181795
S1-64045011	S2-155071678,S2-214616839,S2-231888175,S2-243764861,S2-260219982,S2-301661112,S2-30198793,S2-309431103,S2-316585256,S2-343697224,S2-414256753,S2-469207582,S2-501384396,S2-562997465,S2-606326575,S2-615990414,S2-661781448,S2-666782376,S2-754856819,S2-777673414,S2-778024060,S2-810813977,S2-820385444,S2-822749847,S2-866983542,S2-872248490,S2-892052286,S2-893939251,S2-944494555,S2-980651759,S3-305681780,S3-366341675,S3-377348825,S3-711334462,S3-986526946
S1-978635177	S2-358219812,S2-828726837,S2-876465630,S2-991657552,S3-22176430,S3-856957244,S3-981024688
S1-217654601	S2-169546802,S2-186080711,S2-229292282,S2-246287577,S2-29126792,S2-329252075,S2-340874994,S2-40073277,S2-42346903,S2-491931906,S2-533429272,S2-588695902,S2-720050181,S2-823313134,S2-858260333,S2-908257933,S2-946239794,S3-25466273,S3-284933331,S3-342122461,S3-349896561,S3-431342165,S3-545941916,S3-56022963,S3-580534416,S3-606339353,S3-644256772,S3-713274587,S3-791378915,S3-858958913,S3-8617717,S3-879206063
S1-262997549	S2-229856321,S2-429473590
S1-475037609	S2-454875880,S2-571443346,S2-777135419,S2-950309177,S3-133060203,S3-387598114
S1-545563302	S2-140724632,S2-156573872,S2-20605961,S2-210062866,S2-22986055,S2-277996470,S2-281025226,S2-285248484,S2-31818821,S2-320581764,S2-341455263,S2-399419463,S2-448940065,S2-456934782,S2-481071542,S2-48233411,S2-547557150,S2-582570386,S2-609161415,S2-662227064,S2-731163714,S2-823813982,S2-831323446,S2-835142245,S2-868127388,S2-884637854,S2-895840866,S2-900544727,S2-904176125,S2-950851985,S2-992686249,S2-99841727,S3-313688012,S3-607824449,S3-968500624
S1-152979696	S2-265886457,S2-397145365,S2-611370904,S3-780004361,S3-839447204
S1-986167625	S2-214970450,S2-727255881,S3-433642736,S3-563781589,S3-664761747
S1-56911061	S2-100171087,S2-126114325,S2-140570283,S2-178524001,S2-219511960,S2-233855016,S2-248578795,S2-271980322,S2-272853443,S2-488795479,S2-498712399,S2-501461489,S2-506653702,S2-689298806,S2-71839787,S2-769514492,S2-774858902,S2-792479049,S2-844572537,S2-84972171,S2-85926088,S2-919462873,S2-978317841,S2-9946485,S3-228972158,S3-285423050,S3-35517149,S3-391969183,S3-489611001,S3-49524617,S3-632926404,S3-658261076,S3-826361314,S3-847844822,S3-897956488
S1-709219556	S2-249846802,S2-618328166,S2-939841229,S3-126493228,S3-511928906,S3-751715287,S3-811030681,S3-825715164
S1-705525324	S2-176618364,S2-1894856,S2-266088151,S2-292860908,S2-302747131,S2-323160788,S2-331459425,S2-358100404,S2-416470959,S2-426381800,S2-579876231,S2-662441060,S2-699953766,S2-748514171,S2-809767109,S2-831189349,S2-838504365,S2-859984203,S3-197971216,S3-271035358,S3-299405811,S3-343778282,S3-42539766,S3-473240522,S3-60741488,S3-608194135,S3-632600724,S3-69232777,S3-781152531,S3-808394816,S3-840527931
S1-250899588	S2-870322280,S3-539870164,S3-755224957,S3-755936628
S1-892560990	
S1-914122601	S2-579368062,S3-121424381,S3-284162882,S3-321990646,S3-968774802
S1-217362890	S2-764924647,S3-871408188
S1-500971244	S2-195867308
S1-196616325	S2-126147848,S2-298119858,S2-448572655,S2-877964256,S3-142013655,S3-216102677,S3-226575041,S3-325341265,S3-432919001,S3-464374464,S3-470155334,S3-472885970,S3-620189155,S3-647139009,S3-67445502,S3-725749046,S3-844054592
S1-613595380	S3-307625618,S3-400671472,S3-862471137,S3-950926863
S1-81771195	S3-616109,S3-939808100
S1-244810289	S2-351044090,S2-506711361,S2-63598201,S3-11439847,S3-742580559,S3-975365926
S1-435517917	S2-547669744,S2-911184923,S3-186963329,S3-477441433,S3-928181781
S1-711428258	S2-141992373,S2-245114693,S2-323004664,S2-735478386,S2-760420730,S2-760818279,S2-808156553,S3-120613129,S3-254382046,S3-342201717,S3-419957904,S3-646369824,S3-771958188,S3-805276123,S3-83300045,S3-849674713,S3-962775317
S1-746372199	S2-112911585,S2-126861995,S2-230935368,S2-516181629,S2-518062373,S2-539173706,S2-542114316,S2-694860135,S2-700098672,S2-847197723,S2-888152272,S2-966937039,S3-183810494,S3-253834515,S3-264208857,S3-282476653,S3-286825203,S3-340182668,S3-42786119,S3-627882432,S3-676023626,S3-686634383,S3-722266014,S3-785647693,S3-810965798,S3-825250179,S3-897145140,S3-943115434,S3-989002325
S1-414440524	S2-425190015,S2-92811564,S2-970107098,S3-15852224,S3-500027332,S3-526807850
S1-185426989	S2-152060439,S2-165710508,S2-403406619,S2-463914306,S2-504124615,S2-575911483,S2-59442551,S2-604631012,S2-607026277,S2-656047891,S2-659885682,S2-660791587,S2-780523103,S2-793011878,S2-853799526,S2-857829313,S2-878149102,S2-89338914,S3-159411748,S3-189093756,S3-245129589,S3-26712756,S3-361038527,S3-400062624,S3-558325632,S3-638339424,S3-772601119,S3-880911130,S3-99739485
S1-389414274	S2-149253287,S2-24125756,S2-933610960,S3-443891409,S3-993901020
S1-565373599	S2-187309079,S2-341831747,S2-563691319,S2-94388063,S3-412182189
S1-439203009	S2-295253343,S2-334803373,S2-404279811,S2-516736166,S2-867126413,S2-96406827,S2-99859010,S3-129906398,S3-161097138,S3-272193615,S3-352945960,S3-367683292,S3-406420449,S3-497301111,S3-539672506,S3-915676955,S3-917410533,S3-967165288
S1-936281943	S2-138771817,S2-302692434,S2-309237553,S2-404958972,S2-459538951,S2-495808234,S2-63736490,S2-649962343,S2-720976485,S2-731646142,S2-911062892,S2-914251407,S2-937891275,S2-969838713,S2-973674638,S3-222459568,S3-360821584,S3-43533076,S3-531662584,S3-548208228,S3-58397510,S3-624819461,S3-686648670,S3-704343793,S3-710728424,S3-716595628,S3-71775678,S3-76711955,S3-835661100,S3-859730197,S3-944096616,S3-97077846
S1-854707534	S2-19061664,S2-484858216,S2-665904786,S3-505467050,S3-566541577,S3-726605294,S3-760389625
S1-568345776	S2-194686710,S2-320098677,S2-806324381,S3-583032340,S3-945077601
S1-698332185	S2-368647577,S2-595590862,S2-73716587,S2-852540651,S2-954090623,S3-731050347,S3-949772034,S3-994622857
S1-988131510	S2-250099454,S2-253536276,S2-317701142,S2-490127701,S2-639668840,S2-875654390,S2-881386306,S2-901334823,S2-9243688,S2-965135891,S2-975209030,S2-987788937,S3-289893897,S3-314023886,S3-338328034,S3-70783129,S3-773448579,S3-897530021
S1-299367178	S2-197953372,S2-253245428,S2-266437162,S2-334991974,S2-357511209,S2-366480050,S2-378660284,S2-399866773,S2-492589350,S2-504612567,S2-518859576,S2-600433503,S2-621897365,S2-650607812,S2-660091990,S2-767535321,S2-774316610,S2-778612308,S2-815315339,S2-840093914,S2-857812018,S2-876550689,S2-959349075,S3-161755914,S3-311928554,S3-344613341,S3-478293486,S3-559434817,S3-56301013,S3-595539211,S3-73180305,S3-792548532,S3-931877179,S3-957699670,S3-999512002
S1-859171839	S2-734885736,S3-494516830
S1-573194865	S2-879535233,S3-224592930,S3-266974359,S3-918036809,S3-966842267
S1-862038247	S2-456900090,S3-114739442,S3-132208115,S3-807706570
S1-771118608	S2-959047416,S3-319615062,S3-950684070
S1-613162935	S2-10353130,S2-78754231,S3-394530034
S1-191912983	S2-255221524,S2-382147906,S2-449137844,S2-884385935,S3-158432658,S3-486655756,S3-523999880,S3-784413899,S3-90202042,S3-910150137,S3-926377788,S3-933485363
S1-155848476	S2-306873906,S2-524184937,S2-621408109,S2-664263611,S2-753657867,S2-911723717,S2-930931308,S2-993192885,S3-208529646,S3-438144626,S3-450420344,S3-477250159,S3-79854379,S3-879817526
S1-184017157	S2-118654969,S2-123102552,S2-221369333,S2-226758568,S2-298615086,S2-411750648,S2-480315914,S2-55250528,S2-710082259,S2-731831807,S2-77284617,S2-790425886,S2-85820812,S2-867823269,S2-87977816,S3-301481867,S3-382064174,S3-441774008,S3-503394121,S3-506349597,S3-516363421,S3-649235994,S3-771795745,S3-813455390,S3-839987822,S3-989717999
S1-143612983	S2-108478159,S2-155659208,S2-201612636,S2-231977102,S2-295189929,S2-310730543,S2-383104951,S2-411718047,S2-428491774,S2-431280729,S2-689836319,S2-698567775,S2-719761994,S2-806682727,S2-893065168,S2-948258039,S2-967850484,S3-109377868,S3-117307154,S3-11852301,S3-225911192,S3-339207403,S3-392411120,S3-416994578,S3-573573318,S3-58397510,S3-638629281,S3-812031689,S3-834877949,S3-855730393,S3-922971635,S3-929786408
S1-840853418	S2-424653241,S2-723336783,S3-898812301
S1-420925507	S2-203160203,S3-127675607,S3-18388563,S3-38088350
S1-603849401	S2-442447011,S3-136081082,S3-907775422
S1-526762509	S3-709406728
S1-237850150	S2-105005587,S2-489402473,S2-884345692,S3-99526941
S1-476229978	S2-189121342,S2-280435218,S2-282401555,S2-37721056,S2-387223674,S2-481482863,S2-498527677,S2-609649111,S2-643387638,S2-717577572,S2-777355389,S2-796992574,S2-86610472,S2-873855969,S2-89430911,S2-911364641,S3-241326686,S3-263240856,S3-387715718,S3-529532694,S3-540847507,S3-559571245,S3-577510868,S3-586312431,S3-598991117,S3-681749403,S3-740115964,S3-742777523,S3-773087318,S3-845629343,S3-877105804,S3-943777454,S3-950992569,S3-966978346,S3-968030073
S1-47912482	S2-104423054,S2-153361238,S2-200058396,S2-266336463,S2-26680410,S2-299117454,S2-323160596,S2-536237085,S2-544679828,S2-577486256,S2-602599551,S2-618606811,S2-682538932,S2-756829895,S2-784592218,S2-916564250,S2-943021010,S3-16712519,S3-197499644,S3-22094742,S3-301207029,S3-328207137,S3-393651638,S3-459542565,S3-475657653,S3-522561585,S3-534602750,S3-587849074,S3-684636424,S3-724027537,S3-784355179,S3-847095616,S3-855943225,S3-963789716,S3-99307680
S1-110019767	S2-580283633,S3-190713221,S3-249389346,S3-590706723,S3-693730121
S1-356156624	S2-162268045,S2-231324061,S2-237625978,S2-648417226,S3-188113680,S3-315197316,S3-433322465,S3-547897454,S3-607033114,S3-840855152
S1-553350361	S2-100171087,S2-126114325,S2-140570283,S2-178524001,S2-219511960,S2-233855016,S2-248578795,S2-271980322,S2-272853443,S2-488795479,S2-498712399,S2-501461489,S2-506653702,S2-689298806,S2-71839787,S2-769514492,S2-774858902,S2-792479049,S2-844572537,S2-84972171,S2-85926088,S2-919462873,S2-978317841,S2-9946485,S3-228972158,S3-285423050,S3-35517149,S3-391969183,S3-489611001,S3-49524617,S3-616153055,S3-658261076,S3-826361314,S3-847844822,S3-897956488
S1-681402684	S2-269873909,S2-275468072,S2-38516840,S2-399400691,S2-659716122,S2-660347553,S2-709440503,S2-777056814,S2-802965311,S2-808708772,S2-855457055,S2-896056665,S3-221909416,S3-230745400,S3-391162873,S3-583057994,S3-60584496,S3-689060390,S3-764107988,S3-791790101,S3-875210813,S3-98529223
S1-203260456	S2-141990770,S2-157681003,S2-166803526,S2-187799073,S2-214427379,S2-258886674,S2-26089901,S2-315282713,S2-428343052,S2-452516414,S2-467760964,S2-469243821,S2-733640695,S2-736570033,S2-749015613,S2-820230344,S2-822585016,S2-825358250,S2-831399457,S2-839857145,S2-881117490,S2-95209804,S2-980490480,S3-100161379,S3-118535198,S3-204537761,S3-347196515,S3-347554538,S3-417488058,S3-599222891,S3-649837864,S3-653214758,S3-914916384,S3-984842983,S3-987523638
S1-605334018	S2-126113089,S2-287473898,S2-344669711,S2-376233629,S2-459446221,S2-571943447,S2-628056817,S2-644552745,S2-726576662,S2-855182594,S3-102262902,S3-274149100,S3-408088737,S3-432622039,S3-454413362,S3-531342602,S3-541726179,S3-655782584,S3-69492250,S3-730903695,S3-772997222,S3-78757918,S3-839091382,S3-92440994,S3-965385314,S3-988767294
S1-581867733	S2-244913873,S2-720013822,S2-987935542,S3-107290944,S3-118196941,S3-224806766,S3-226002113,S3-283035714,S3-328390329,S3-403135036,S3-505172112,S3-506683334,S3-689239444,S3-692151827,S3-959132349,S3-997272899
S1-798155629	S2-55612482,S3-32734770,S3-496088530
S1-958475533	S2-269873909,S2-275468072,S2-38516840,S2-399400691,S2-659716122,S2-660347553,S2-709440503,S2-777056814,S2-802965311,S2-808708772,S2-855457055,S2-896056665,S3-221909416,S3-230745400,S3-391162873,S3-583057994,S3-60584496,S3-689060390,S3-791790101,S3-875210813,S3-98529223
S1-39001923	S2-136972900,S2-154102797,S2-176034363,S2-22391750,S2-249688648,S2-251558083,S2-304562241,S2-379588018,S2-469412047,S2-479181098,S2-489125381,S2-593117235,S2-602769666,S2-731066709,S2-788245208,S2-803353102,S2-821967722,S2-869040543,S2-94442442,S2-952678608,S2-954201105,S2-988228571,S3-165309032,S3-20638299,S3-250537420,S3-31977274,S3-379025755,S3-473977203,S3-608619498,S3-654758503,S3-779182918,S3-891847666,S3-905677362,S3-916484684,S3-998314844
S1-861667938	S2-241528425,S2-404064384,S2-513668482,S2-769572188,S2-935755998,S3-112981675
S1-419447652	S2-196665073,S2-45426382,S3-323049157,S3-423651682,S3-462984596,S3-743613948,S3-914989658
